,meetupid,title,day,month,year,meetupLink,videoLink,place
31,11,#11 Comment fait-on des cartes?,28,3,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/238301970/,,"Ekito 15 Rue Gabriel Péri, 31000 Toulouse, France · Toulouse"
32,10,#10 Cartes et réseaux: Pourquoi et comment les visualiser?,31,1,2017,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/236820275/,https://www.youtube.com/watch?v=HWzpY5cOtYI&t=3s&ab_channel=ToulouseDataViz,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
33,9,#9 Data visualisation : témoignages d’entreprises,15,12,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/235819612/,,Harry Cow 13 rue sainte Ursule Toulouse
34,8,#8 Data journalisme,24,11,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/234987302/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
35,7,#7 Visualisation de données et outils de business intelligence,15,9,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/232473218/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
36,6,#6 Techniques interactives d’exploration de grandes quantités de données,31,5,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/230636649/,,La Cantine 27 rue d’Aubuisson 31000 Toulouse Toulouse
37,5,"#5 Exploration interactives de données avec les librairies d3.js, dc.js et crossfilter.js ",13,4,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/229825321/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
38,4,#4 Data visualisation pour les data sciences : Principes en action !,16,3,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/229037863/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
39,3,#3 La pratique de la visualisation de données !,10,2,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/228176843/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
40,2,#2 Introduction à la librairie d3.js. Exemple de réalisation,12,1,2016,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/227206025/,,"Etincelle Coworking (Wilson) 2 rue d’Austerlitz, Toulouse Toulouse Métro Jean Jaurès (ligne A / B)"
41,1,#1 Faire connaissance et choisir les thèmes des rencontres,1,12,2015,https://www.meetup.com/fr-FR/Meetup-Visualisation-des-donnees-Toulouse/events/226698037/,,La Cantine 27 rue d’Aubuisson 31000 Toulouse Toulouse
